user_id,refill_cycle_id,refill_date,cylinder_size_kg,refill_quantity_kg,household_size,meals_per_day,cooking_days_per_week,lpg_primary_fuel,usage_change,festive_period,refill_month,previous_cycle_days,average_previous_cycle_days,number_previous_cycles,actual_cycle_days
USR_20000,USR_20000_C01,2025-03-06,12.5,11.52,6,3,6,0,normal,0,3,,,0,40
USR_20000,USR_20000_C02,2025-04-15,12.5,9.37,6,3,6,0,normal,0,4,40.0,40.0,1,34
USR_20000,USR_20000_C03,2025-05-19,12.5,11.94,6,3,6,0,normal,0,5,34.0,37.0,2,36
USR_20000,USR_20000_C04,2025-06-24,12.5,9.65,6,3,6,0,more,0,6,36.0,36.666666666666664,3,28
USR_20000,USR_20000_C05,2025-07-22,12.5,12.5,6,3,6,0,less,0,7,28.0,34.5,4,55
USR_20002,USR_20002_C01,2025-04-19,6.0,4.98,3,2,7,1,normal,0,4,,,0,15
USR_20002,USR_20002_C02,2025-05-04,6.0,5.88,3,2,7,1,normal,0,5,15.0,15.0,1,19
USR_20002,USR_20002_C03,2025-05-23,6.0,3.93,3,2,7,1,normal,0,5,19.0,17.0,2,12
USR_20002,USR_20002_C04,2025-06-04,6.0,5.88,3,2,7,1,normal,0,6,12.0,15.333333333333334,3,18
USR_20002,USR_20002_C05,2025-06-22,6.0,5.97,3,2,7,1,more,0,6,18.0,16.0,4,17
USR_20003,USR_20003_C01,2025-03-10,6.0,4.55,5,3,5,1,normal,0,3,,,0,11
USR_20003,USR_20003_C02,2025-03-21,6.0,4.54,5,3,5,1,normal,0,3,11.0,11.0,1,14
USR_20003,USR_20003_C03,2025-04-04,6.0,5.86,5,3,5,1,normal,0,4,14.0,12.5,2,17
USR_20003,USR_20003_C04,2025-04-21,6.0,5.67,5,3,5,1,normal,0,4,17.0,14.0,3,17
USR_20003,USR_20003_C05,2025-05-08,6.0,5.62,5,3,5,1,normal,0,5,17.0,14.75,4,16
USR_20003,USR_20003_C06,2025-05-24,6.0,5.78,5,3,5,1,normal,0,5,16.0,15.0,5,16
USR_20003,USR_20003_C07,2025-06-09,6.0,3.61,5,3,5,1,normal,0,6,16.0,15.166666666666666,6,12
USR_20003,USR_20003_C08,2025-06-21,6.0,5.77,5,3,5,1,less,0,6,12.0,14.714285714285714,7,23
USR_20003,USR_20003_C09,2025-07-14,6.0,5.77,5,3,5,1,normal,0,7,23.0,15.75,8,18
USR_20003,USR_20003_C10,2025-08-01,6.0,5.45,5,3,5,1,normal,0,8,18.0,16.0,9,14
USR_20004,USR_20004_C01,2025-03-26,12.5,12.33,5,1,6,1,normal,0,3,,,0,49
USR_20004,USR_20004_C02,2025-05-14,12.5,11.53,5,1,6,1,normal,0,5,49.0,49.0,1,53
USR_20004,USR_20004_C03,2025-07-06,12.5,12.08,5,1,6,1,normal,0,7,53.0,51.0,2,66
USR_20004,USR_20004_C04,2025-09-10,12.5,11.66,5,1,6,1,normal,0,9,66.0,56.0,3,53
USR_20004,USR_20004_C05,2025-11-02,12.5,12.01,5,1,6,1,normal,0,11,53.0,55.25,4,55
USR_20004,USR_20004_C06,2025-12-27,12.5,11.93,5,1,6,1,normal,1,12,55.0,55.2,5,49
USR_20004,USR_20004_C07,2026-02-14,12.5,12.04,5,1,6,1,more,0,2,49.0,54.166666666666664,6,43
USR_20004,USR_20004_C08,2026-03-29,12.5,7.13,5,1,6,1,normal,0,3,43.0,52.57142857142857,7,29
USR_20005,USR_20005_C01,2025-04-19,6.0,5.81,2,2,7,1,normal,0,4,,,0,20
USR_20005,USR_20005_C02,2025-05-09,6.0,5.64,2,2,7,1,more,0,5,20.0,20.0,1,16
USR_20005,USR_20005_C03,2025-05-25,6.0,5.73,2,2,7,1,normal,0,5,16.0,18.0,2,20
USR_20005,USR_20005_C04,2025-06-14,6.0,5.0,2,2,7,1,normal,0,6,20.0,18.666666666666668,3,19
USR_20005,USR_20005_C05,2025-07-03,6.0,5.91,2,2,7,1,more,0,7,19.0,18.75,4,16
USR_20006,USR_20006_C01,2025-01-15,12.5,12.41,8,2,6,1,normal,1,1,,,0,31
USR_20006,USR_20006_C02,2025-02-15,12.5,12.44,8,2,6,1,normal,0,2,31.0,31.0,1,26
USR_20006,USR_20006_C03,2025-03-13,12.5,12.23,8,2,6,1,normal,0,3,26.0,28.5,2,24
USR_20006,USR_20006_C04,2025-04-06,12.5,11.59,8,2,6,1,normal,0,4,24.0,27.0,3,25
USR_20006,USR_20006_C05,2025-05-01,12.5,11.7,8,2,6,1,more,0,5,25.0,26.5,4,19
USR_20008,USR_20008_C01,2025-01-25,12.5,11.72,6,3,6,1,normal,1,1,,,0,23
USR_20008,USR_20008_C02,2025-02-17,12.5,11.74,6,3,6,1,normal,0,2,23.0,23.0,1,23
USR_20008,USR_20008_C03,2025-03-12,12.5,12.13,6,3,6,1,normal,0,3,23.0,23.0,2,22
USR_20008,USR_20008_C04,2025-04-03,12.5,11.77,6,3,6,1,normal,0,4,22.0,22.666666666666668,3,22
USR_20008,USR_20008_C05,2025-04-25,12.5,11.72,6,3,6,1,normal,0,4,22.0,22.5,4,26
USR_20008,USR_20008_C06,2025-05-21,12.5,7.01,6,3,6,1,normal,0,5,26.0,23.2,5,13
USR_20009,USR_20009_C01,2025-02-05,12.5,12.05,6,2,7,1,normal,0,2,,,0,32
USR_20009,USR_20009_C02,2025-03-09,12.5,8.93,6,2,7,1,normal,0,3,32.0,32.0,1,26
USR_20009,USR_20009_C03,2025-04-04,12.5,12.49,6,2,7,1,normal,0,4,26.0,29.0,2,35
USR_20009,USR_20009_C04,2025-05-09,12.5,7.71,6,2,7,1,less,0,5,35.0,31.0,3,26
USR_20009,USR_20009_C05,2025-06-04,12.5,11.84,6,2,7,1,normal,0,6,26.0,29.75,4,30
USR_20009,USR_20009_C06,2025-07-04,12.5,12.38,6,2,7,1,normal,0,7,30.0,29.8,5,31
USR_20010,USR_20010_C01,2025-03-23,6.0,5.76,2,3,7,0,normal,0,3,,,0,24
USR_20010,USR_20010_C02,2025-04-16,6.0,5.92,2,3,7,0,normal,0,4,24.0,24.0,1,20
USR_20010,USR_20010_C03,2025-05-06,6.0,3.73,2,3,7,0,normal,0,5,20.0,22.0,2,15
USR_20010,USR_20010_C04,2025-05-21,6.0,5.54,2,3,7,0,normal,0,5,15.0,19.666666666666668,3,22
USR_20010,USR_20010_C05,2025-06-12,6.0,5.8,2,3,7,0,normal,0,6,22.0,20.25,4,22
USR_20010,USR_20010_C06,2025-07-04,6.0,5.56,2,3,7,0,normal,0,7,22.0,20.6,5,23
USR_20010,USR_20010_C07,2025-07-27,6.0,5.99,2,3,7,0,less,0,7,23.0,21.0,6,28
USR_20010,USR_20010_C08,2025-08-24,6.0,5.55,2,3,7,0,normal,0,8,28.0,22.0,7,23
USR_20010,USR_20010_C09,2025-09-16,6.0,5.84,2,3,7,0,normal,0,9,23.0,22.125,8,19
USR_20012,USR_20012_C01,2025-01-13,6.0,5.7,3,2,7,1,normal,1,1,,,0,20
USR_20012,USR_20012_C02,2025-02-02,6.0,5.69,3,2,7,1,normal,0,2,20.0,20.0,1,18
USR_20012,USR_20012_C03,2025-02-20,6.0,3.71,3,2,7,1,normal,0,2,18.0,19.0,2,12
USR_20012,USR_20012_C04,2025-03-04,6.0,5.99,3,2,7,1,normal,0,3,12.0,16.666666666666668,3,18
USR_20012,USR_20012_C05,2025-03-22,6.0,5.42,3,2,7,1,more,0,3,18.0,17.0,4,15
USR_20013,USR_20013_C01,2025-03-10,12.5,12.31,4,3,7,1,normal,0,3,,,0,27
USR_20013,USR_20013_C02,2025-04-06,12.5,11.94,4,3,7,1,normal,0,4,27.0,27.0,1,28
USR_20013,USR_20013_C03,2025-05-04,12.5,11.57,4,3,7,1,normal,0,5,28.0,27.5,2,35
USR_20013,USR_20013_C04,2025-06-08,12.5,11.73,4,3,7,1,normal,0,6,35.0,30.0,3,31
USR_20013,USR_20013_C05,2025-07-09,12.5,12.19,4,3,7,1,normal,0,7,31.0,30.25,4,36
USR_20013,USR_20013_C06,2025-08-14,12.5,8.74,4,3,7,1,normal,0,8,36.0,31.4,5,21
