order_id,user_id,vendor_id,order_timestamp,peak_ordering_hour,peak_ordering_day,peak_ordering_state,status,gas_cost_ngn,delivery_fee_ngn,total_amount_ngn,commission_paid_ngn,net_platform_revenue_ngn,vendor_response_time_mins,delivery_duration_mins,weight_before_kg,weight_after_kg,photo_before_url,photo_after_url,customer_rating_score,customer_review_text,support_ticket_flag,fraud_flag,ai_prediction_confidence_pct,prediction_error_days,actual_consumption_cycle_days,days_remaining,predicted_refill_date,current_gas_level_pct,is_active_dau,is_active_mau
ORD_700001,USR_21344,VND_502,2026-03-19 07:17:00,7,Thursday,Lagos,Delivered,16875.0,2000,18875.0,337.5,337.5,4,79,13.6,26.1,https://flameiq.com_700001.png,https://flameiq.com_700001.png,3.0,Gas price is a bit high.,0,0,86.3,0,39,36,2026-04-24,92.3,0,1
ORD_700002,USR_20739,VND_529,2026-04-06 19:13:00,19,Monday,Lagos,Delivered,15000.0,1500,16500.0,300.0,800.0,3,78,13.54,26.04,https://flameiq.com_700002.png,https://flameiq.com_700002.png,4.0,"Clean cylinder, great service.",0,0,90.6,-1,19,10,2026-04-16,52.6,1,1
ORD_700003,USR_20560,VND_535,2026-05-12 19:51:00,19,Tuesday,Lagos,Delivered,15000.0,1500,16500.0,300.0,800.0,4,47,13.72,26.22,https://flameiq.com_700003.png,https://flameiq.com_700003.png,5.0,"Clean cylinder, great service.",0,0,93.9,0,39,8,2026-05-20,20.5,0,1
ORD_700004,USR_20513,VND_510,2026-01-09 08:12:00,8,Friday,Lagos,Delivered,62500.0,1000,63500.0,1250.0,1750.0,2,127,35.31,85.31,https://flameiq.com_700004.png,https://flameiq.com_700004.png,4.0,"Clean cylinder, great service.",0,0,91.9,0,14,11,2026-01-20,78.6,0,1
ORD_700005,USR_20763,VND_516,2026-06-17 18:58:00,18,Wednesday,Lagos,Delivered,7200.0,1500,8700.0,144.0,144.0,2,73,7.68,13.68,https://flameiq.com_700005.png,https://flameiq.com_700005.png,5.0,Excellent and very fast!,0,0,96.1,0,17,7,2026-06-24,41.2,0,1
ORD_700006,USR_20626,VND_539,2026-03-22 19:50:00,19,Sunday,Lagos,Delivered,15000.0,1500,16500.0,300.0,300.0,1,74,13.67,26.17,https://flameiq.com_700006.png,https://flameiq.com_700006.png,2.0,Delay in vendor accepting my order.,0,0,97.3,1,28,14,2026-04-05,50.0,1,1
ORD_700007,USR_20221,VND_529,2026-04-24 18:52:00,18,Friday,Lagos,Delivered,7200.0,2000,9200.0,144.0,644.0,5,121,7.6,13.6,https://flameiq.com_700007.png,https://flameiq.com_700007.png,5.0,Excellent and very fast!,0,0,86.2,-2,14,2,2026-04-26,14.3,1,1
ORD_700008,USR_20064,VND_524,2026-05-07 20:01:00,20,Thursday,Lagos,Delivered,8400.0,1000,9400.0,168.0,168.0,5,216,7.77,13.77,https://flameiq.com_700008.png,https://flameiq.com_700008.png,5.0,"Honest weight, highly recommended.",0,0,94.9,1,13,13,2026-05-20,100.0,0,0
ORD_700009,USR_20147,VND_512,2026-02-02 07:53:00,7,Monday,Lagos,Delivered,8100.0,1500,9600.0,162.0,162.0,5,82,7.9,13.9,https://flameiq.com_700009.png,https://flameiq.com_700009.png,4.0,"Honest weight, highly recommended.",0,0,85.1,1,14,2,2026-02-04,14.3,0,1
ORD_700010,USR_20564,VND_509,2026-03-29 17:13:00,17,Sunday,Lagos,Delivered,16250.0,1000,17250.0,325.0,825.0,1,65,13.67,26.17,https://flameiq.com_700010.png,https://flameiq.com_700010.png,5.0,Excellent and very fast!,0,0,91.9,1,40,8,2026-04-06,20.0,1,1
ORD_700011,USR_20565,VND_504,2026-02-01 08:29:00,8,Sunday,Lagos,Delivered,7800.0,1000,8800.0,156.0,156.0,4,84,7.81,13.81,https://flameiq.com_700011.png,https://flameiq.com_700011.png,5.0,"Honest weight, highly recommended.",0,0,99.0,-1,17,14,2026-02-15,82.4,0,1
ORD_700012,USR_21367,VND_527,2026-02-27 12:04:00,12,Friday,Lagos,Delivered,30000.0,1500,31500.0,600.0,600.0,4,50,22.36,47.36,https://flameiq.com_700012.png,https://flameiq.com_700012.png,2.0,Rider was late.,1,0,93.7,0,8,4,2026-03-03,50.0,0,0
ORD_700013,USR_20680,VND_524,2026-04-09 20:21:00,20,Thursday,Lagos,Delivered,17500.0,2000,19500.0,350.0,350.0,6,67,13.62,26.12,https://flameiq.com_700013.png,https://flameiq.com_700013.png,5.0,"Clean cylinder, great service.",0,0,85.7,1,31,22,2026-05-01,71.0,1,1
ORD_700014,USR_20760,VND_506,2026-02-22 17:01:00,17,Sunday,Lagos,Delivered,8400.0,1000,9400.0,168.0,168.0,4,52,7.61,13.61,https://flameiq.com_700014.png,https://flameiq.com_700014.png,5.0,"Honest weight, highly recommended.",0,0,97.2,0,8,7,2026-03-01,87.5,0,1
ORD_700015,USR_20122,VND_535,2026-05-09 20:05:00,20,Saturday,Lagos,Delivered,7200.0,1500,8700.0,144.0,144.0,1,80,7.88,13.88,https://flameiq.com_700015.png,https://flameiq.com_700015.png,5.0,"Honest weight, highly recommended.",0,0,96.8,2,8,7,2026-05-16,87.5,1,1
ORD_700016,USR_20821,VND_524,2026-03-21 12:33:00,12,Saturday,Lagos,Delivered,8400.0,1000,9400.0,168.0,168.0,6,102,7.58,13.58,https://flameiq.com_700016.png,https://flameiq.com_700016.png,5.0,"Honest weight, highly recommended.",0,0,88.6,0,19,1,2026-03-22,5.3,1,1
ORD_700017,USR_20068,VND_528,2026-02-16 19:08:00,19,Monday,Lagos,Delivered,8400.0,1500,9900.0,168.0,168.0,3,112,7.61,13.61,https://flameiq.com_700017.png,https://flameiq.com_700017.png,5.0,"Honest weight, highly recommended.",0,0,89.7,0,8,0,2026-02-16,0.0,0,1
ORD_700018,USR_20793,VND_500,2026-03-14 17:37:00,17,Saturday,Lagos,Delivered,8400.0,1000,9400.0,168.0,168.0,10,179,7.74,13.74,https://flameiq.com_700018.png,https://flameiq.com_700018.png,5.0,Excellent and very fast!,1,0,97.0,-1,12,9,2026-03-23,75.0,1,1
ORD_700019,USR_20712,VND_507,2026-05-08 18:22:00,18,Friday,Lagos,Delivered,7500.0,1000,8500.0,150.0,650.0,1,63,7.62,13.62,https://flameiq.com_700019.png,https://flameiq.com_700019.png,2.0,Delay in vendor accepting my order.,0,0,92.6,5,12,0,2026-05-08,0.0,0,1
ORD_700020,USR_21473,VND_500,2026-04-04 19:32:00,19,Saturday,Lagos,Delivered,17500.0,1000,18500.0,350.0,350.0,1,190,13.69,26.19,https://flameiq.com_700020.png,https://flameiq.com_700020.png,5.0,Excellent and very fast!,0,0,94.1,-1,27,25,2026-04-29,92.6,0,1
ORD_700021,USR_21036,VND_511,2026-05-22 08:14:00,8,Friday,Lagos,Delivered,7200.0,1500,8700.0,144.0,144.0,10,56,7.62,13.62,https://flameiq.com_700021.png,https://flameiq.com_700021.png,4.0,"Clean cylinder, great service.",0,0,92.4,0,18,15,2026-06-06,83.3,0,0
ORD_700022,USR_21442,VND_533,2026-01-27 20:56:00,20,Tuesday,Lagos,Delivered,8100.0,1500,9600.0,162.0,162.0,4,40,7.68,13.68,https://flameiq.com_700022.png,https://flameiq.com_700022.png,1.0,Delay in vendor accepting my order.,0,0,90.5,1,8,5,2026-02-01,62.5,1,1
ORD_700023,USR_20718,VND_531,2026-01-14 18:22:00,18,Wednesday,Lagos,Delivered,7800.0,1000,8800.0,156.0,156.0,4,95,7.59,13.59,https://flameiq.com_700023.png,https://flameiq.com_700023.png,4.0,"Clean cylinder, great service.",0,0,85.2,1,21,9,2026-01-23,42.9,1,1
