user_id,segment,cylinder_size_kg,signup_timestamp,subscription_status,account_lifecycle_status,user_latitude,user_longitude,launch_zone,state
USR_20000,Household,12.5,2026-04-07,Free Tier,Active,6.554736343321008,3.3895419815689034,Gbagada Estate,Lagos
USR_20001,Business,25.0,2026-01-01,Free Tier,Active,6.420310863326171,3.416287787783925,Lekki Phase 1,Lagos
USR_20002,Household,6.0,2026-02-20,Premium Paid,Active,6.427387004997643,3.4205650186461805,Lekki Phase 1,Lagos
USR_20003,Household,6.0,2026-01-05,Free Tier,Active,6.560193837240056,3.4031894930776825,Gbagada Estate,Lagos
USR_20004,Household,12.5,2026-01-13,Free Tier,Active,6.6216263658798145,3.3728740841515124,Magodo Phase 2,Lagos
USR_20005,Household,6.0,2026-01-19,Free Tier,Active,6.42442937568123,3.42737990174588,Lekki Phase 1,Lagos
USR_20006,Household,12.5,2026-01-12,Free Tier,Suspended,6.419141448124425,3.412156432990212,Lekki Phase 1,Lagos
USR_20007,Business,25.0,2026-02-17,Free Tier,Active,6.434010887838532,3.421442927519781,Lekki Phase 1,Lagos
USR_20008,Household,12.5,2026-01-25,Free Tier,Active,6.546817622771071,3.39311131869189,Gbagada Estate,Lagos
USR_20009,Household,12.5,2026-02-26,Free Tier,Active,6.436750079061947,3.429090059512498,Lekki Phase 1,Lagos
USR_20010,Household,6.0,2026-04-25,Free Tier,Active,6.558395701004479,3.3980445046067467,Gbagada Estate,Lagos
USR_20011,Business,25.0,2026-02-04,Free Tier,Active,6.554606472523828,3.4079048907056793,Gbagada Estate,Lagos
USR_20012,Household,6.0,2026-03-17,Free Tier,Active,6.563515408877685,3.3927053809157166,Gbagada Estate,Lagos
USR_20013,Household,12.5,2026-04-04,Premium Paid,Active,6.434322091326106,3.4158448533233403,Lekki Phase 1,Lagos
USR_20014,Household,12.5,2026-01-05,Premium Paid,Active,6.548470749557679,3.4019218606832915,Gbagada Estate,Lagos
USR_20015,Household,12.5,2026-04-08,Premium Paid,Active,6.621200021971751,3.38483088814213,Magodo Phase 2,Lagos
USR_20016,Household,12.5,2026-01-22,Free Tier,Active,6.41988019469792,3.4221305128161896,Lekki Phase 1,Lagos
USR_20017,Household,12.5,2026-04-13,Free Tier,Active,6.436470430608862,3.42998227320959,Lekki Phase 1,Lagos
USR_20018,Household,6.0,2026-03-18,Premium Paid,Active,6.421230584268314,3.419232754001929,Lekki Phase 1,Lagos
USR_20019,Household,6.0,2026-02-26,Free Tier,Active,6.430482428000934,3.415087897695428,Lekki Phase 1,Lagos
USR_20020,Household,12.5,2026-02-16,Premium Paid,Active,6.437460443440915,3.4301949865745534,Lekki Phase 1,Lagos
USR_20021,Household,12.5,2026-02-23,Free Tier,Active,6.547539003580689,3.3908231092252197,Gbagada Estate,Lagos
USR_20022,Household,12.5,2026-01-03,Free Tier,Active,6.545908169656165,3.406588873280733,Gbagada Estate,Lagos
