vendor_id,vendor_name,verification_status,account_lifecycle_status,current_price_per_kg,vendor_latitude,vendor_longitude,operational_zone
VND_500,Alhaji & Sons Gas Skid 1,Pending Audit,Active,1400,6.550837908459435,3.401096177045187,Gbagada Estate
VND_501,EcoFlame LPG Hub 2,Verified,Active,1400,6.619731214635929,3.3729308309229316,Magodo Phase 2
VND_502,Alhaji & Sons Gas Skid 3,Verified,Suspended,1350,6.427519266303234,3.4189783826273556,Lekki Phase 1
VND_503,EcoFlame LPG Hub 4,Verified,Active,1200,6.626409356779542,3.375962271490106,Magodo Phase 2
VND_504,Alhaji & Sons Gas Skid 5,Verified,Active,1300,6.623653207845236,3.3796248487158245,Magodo Phase 2
VND_505,EcoFlame LPG Hub 6,Verified,Active,1350,6.428342105805107,3.4207287291676587,Lekki Phase 1
VND_506,Alhaji & Sons Gas Skid 7,Verified,Active,1400,6.4304772408465265,3.4214428015798015,Lekki Phase 1
VND_507,EcoFlame LPG Hub 8,Verified,Active,1250,6.621647755404818,3.377985835668844,Magodo Phase 2
VND_508,Alhaji & Sons Gas Skid 9,Verified,Active,1200,6.430512845412904,3.424233729340674,Lekki Phase 1
VND_509,EcoFlame LPG Hub 10,Pending Audit,Active,1300,6.5580213953130295,3.400693335591,Gbagada Estate
VND_510,Alhaji & Sons Gas Skid 11,Verified,Active,1250,6.4302594674875895,3.42475988202989,Lekki Phase 1
VND_511,EcoFlame LPG Hub 12,Verified,Active,1200,6.550201481562364,3.397299451289502,Gbagada Estate
VND_512,Alhaji & Sons Gas Skid 13,Pending Audit,Active,1350,6.556100824768275,3.3991977520888823,Gbagada Estate
VND_513,EcoFlame LPG Hub 14,Verified,Active,1350,6.551620576021053,3.3968298647127084,Gbagada Estate
VND_514,Alhaji & Sons Gas Skid 15,Verified,Active,1200,6.426794340888657,3.4224426248893787,Lekki Phase 1
VND_515,EcoFlame LPG Hub 16,Pending Audit,Active,1300,6.430752786371528,3.4253599342382213,Lekki Phase 1
VND_516,Alhaji & Sons Gas Skid 17,Verified,Active,1200,6.625100739302829,3.378943603121414,Magodo Phase 2
VND_517,EcoFlame LPG Hub 18,Verified,Active,1250,6.427860767667612,3.4210182025569784,Lekki Phase 1
VND_518,Alhaji & Sons Gas Skid 19,Verified,Active,1250,6.427241668257153,3.4228283082267197,Lekki Phase 1
VND_519,EcoFlame LPG Hub 20,Verified,Active,1350,6.551193893644446,3.399035953462322,Gbagada Estate
VND_520,Alhaji & Sons Gas Skid 21,Verified,Active,1200,6.429421062881469,3.42141126992165,Lekki Phase 1
VND_521,EcoFlame LPG Hub 22,Verified,Active,1350,6.431725337414169,3.4227657061790366,Lekki Phase 1
VND_522,Alhaji & Sons Gas Skid 23,Verified,Active,1300,6.551959995777893,3.3982337300594683,Gbagada Estate
VND_523,EcoFlame LPG Hub 24,Verified,Active,1250,6.429503235497082,3.420489032996644,Lekki Phase 1
VND_524,Alhaji & Sons Gas Skid 25,Verified,Active,1400,6.550837132850312,3.399067485077687,Gbagada Estate
VND_525,EcoFlame LPG Hub 26,Verified,Active,1400,6.431682961348957,3.4217805758845055,Lekki Phase 1
VND_526,Alhaji & Sons Gas Skid 27,Verified,Active,1200,6.431348872645176,3.4245801887069733,Lekki Phase 1
VND_527,EcoFlame LPG Hub 28,Verified,Active,1200,6.620279302269072,3.3778653593746846,Magodo Phase 2
VND_528,Alhaji & Sons Gas Skid 29,Verified,Active,1400,6.427583724200575,3.4199019706021034,Lekki Phase 1
VND_529,EcoFlame LPG Hub 30,Verified,Active,1200,6.555695506845334,3.4003412857492514,Gbagada Estate
VND_530,Alhaji & Sons Gas Skid 31,Verified,Active,1250,6.425539170549879,3.4252155574564496,Lekki Phase 1
VND_531,EcoFlame LPG Hub 32,Verified,Active,1300,6.625109177951612,3.3796670039931356,Magodo Phase 2
VND_532,Alhaji & Sons Gas Skid 33,Pending Audit,Active,1300,6.426636585750109,3.425414680125944,Lekki Phase 1
VND_533,EcoFlame LPG Hub 34,Verified,Active,1350,6.4270481412627065,3.418331758091419,Lekki Phase 1
VND_534,Alhaji & Sons Gas Skid 35,Pending Audit,Active,1250,6.556303755109672,3.4000280651527066,Gbagada Estate
VND_535,EcoFlame LPG Hub 36,Verified,Active,1200,6.623883287938106,3.3761191499550733,Magodo Phase 2
VND_536,Alhaji & Sons Gas Skid 37,Verified,Active,1200,6.424357322162581,3.422896778012161,Lekki Phase 1
VND_537,EcoFlame LPG Hub 38,Pending Audit,Active,1350,6.427434676921782,3.4223816752219274,Lekki Phase 1
VND_538,Alhaji & Sons Gas Skid 39,Verified,Active,1350,6.553634570735741,3.4021284490621215,Gbagada Estate
